buena_comida,buen_servicio,buen_ambiente,buena_relacion_precio_calidad,espera_corta,apto_ninos,apto_mascotas,cocina_tradicional,cocina_moderna,comida_elaborada,acceso_minusvalidos,terraza_exterior,local_sin_olores,recomendable_en_pareja,buenas_vistas,platos_destacados,aspectos_positivos,aspectos_negativos,rango_precio,dato_curioso,resumen,Id_Restaurante,Nombre,error
True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,"['paella de mariscos', 'pisco sour', 'torta de tres leches', 'ensalada mediterránea', 'hummus', 'ternera al estilo cuba', 'tarta de queso', 'chipirones', 'tortilla española', 'pulpo', 'ternera', 'risotto de boletus', 'huevos rotos con jamón', 'croquetas variadas']","['Servicio excepcional y personal muy amable (Alberto, Diana, Roger son frecuentemente mencionados)', 'Comida deliciosa y auténtica con excelente preparación', ""Ambiente acogedor y agradable (de 'paz y amor')"", 'Muy buena relación calidad-precio', 'Atienden sin reserva y con rapidez']",[],euro euro,"Es un lugar donde los clientes se sienten en casa y el personal, como Diana, interactúa cariñosamente con los niños.","Este restaurante ofrece una auténtica experiencia española con comida deliciosa y bien preparada, destacando platos como la paella, tortilla y pulpo. El servicio es excepcionalmente amable y atento, con empleados como Alberto y Diana recibiendo elogios frecuentes. Los clientes valoran su ambiente acogedor, la buena relación calidad-precio y la capacidad de atender sin reserva, sintiéndose como en casa.",12,El Sur de Moratín,
True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,"['carne', 'hamburguesas', 'filetes', 'nachos', 'pampa']","['Servicio excepcional y personal muy amable y atento (mencionan a Nicole, Rolando, Jeff, Bea, Josefina, Juleysi)', ""Excelente calidad de la comida, destacando las hamburguesas, la carne, los nachos y 'La Pampa'"", 'Ambiente agradable, cómodo y con buena música', 'Buena relación calidad-precio']","['Trato pésimo por parte del encargado a comensales y personal', 'Carne de hamburguesa insípida (mencionado en una ocasión)']",euro euro,"Es el lugar ideal para reponerse de una resaca, ofreciendo sofás realmente cómodos y un peculiar baño con espejos 'crambelosos'.","Este restaurante es muy elogiado por su servicio excepcional, destacando la amabilidad y rapidez de su personal. Los clientes valoran la alta calidad de la comida, especialmente las hamburguesas, la carne, los nachos y 'La Pampa'. El local ofrece un ambiente agradable y cómodo, con buena relación calidad-precio, siendo una opción recomendada para familias y grupos. Sin embargo, se registra una queja significativa sobre el trato del encargado y una mención aislada de hamburguesas insípidas.",13,SteakBurger Arenal I Hamburguesas Madrid,
True,True,True,True,False,False,False,False,True,True,False,False,False,True,False,"['Mejillones al estilo asiático curry de coco char siu', 'Ceviche (cocido o frito)', 'Costillas de cerdo a la parrilla', 'Filete argentino / Ojo de costilla / Ribeye', 'Panes dulces de ternera', 'Croquetas', 'Empanadas', 'Panceta', 'Risotto de hongos', 'Cócteles creativos']","['Servicio excepcional y muy amable', 'Comida de fusión innovadora y deliciosa', 'Ambiente acogedor y sofisticado', 'Excelente relación calidad-precio', 'Amplia selección de bebidas y cócteles creativos']",[],euro euro,"Sorprende con una carta muy original que fusiona cocinas como la española, argentina y peruana, ofreciendo platos únicos como el ceviche cocido.","Astor es un restaurante acogedor y sofisticado en La Latina que destaca por su servicio excepcional y su innovadora cocina de fusión española, argentina y peruana. Ofrece una experiencia gastronómica de alta calidad con platos sorprendentes y cócteles creativos, todo a precios muy razonables, lo que lo convierte en un lugar altamente recomendable.",14,Ástor,
True,True,True,True,False,False,False,False,True,True,False,True,False,False,True,"['patatas', 'brunch', 'huevos benedictinos con salmón', 'cócteles', 'mojitos']","['Servicio excepcional y personal muy amable', 'Terraza con vistas espectaculares de Madrid', 'Ambiente muy acogedor y agradable', 'Bebidas y cócteles deliciosos', 'Buena relación calidad-precio']",['Café mejorable'],euro euro,"Es una azotea con vistas espectaculares a todo Madrid, ideal para disfrutar de un brunch o cócteles.","Este restaurante es altamente valorado por su excepcional servicio y personal amable, su ambiente acogedor y su impresionante terraza con vistas a Madrid. Los clientes elogian la calidad de la comida, especialmente el brunch y los huevos benedictinos, así como la variedad y exquisitez de sus cócteles y bebidas. Ofrece una muy buena relación calidad-precio, haciéndolo un lugar ideal para reunirse con amigos o celebrar ocasiones especiales, a pesar de que el café podría ser mejorable.",15,Azotea Forus Barceló,
True,True,True,True,True,False,False,True,False,True,False,False,False,True,False,"['Tagliatelle al tartufo', 'Gnocchi', 'Risotto di mare', 'Pasta trufada', 'Limonada de fresa']","['Servicio excepcional y muy amable, con menciones frecuentes a la camarera María.', 'Excelente calidad y sabor de la comida italiana, especialmente pastas y risottos.', 'Ambiente agradable y acogedor del local.', 'Tiempos de espera cortos para la comida.', 'Buena relación calidad-precio.']","['Inconsistencias puntuales en el sazón de algún plato (ej. faltó sal).', 'El servicio de los jefes de sala es percibido como menos atento que el de los camareros.']",euro euro euro,"La camarera María es mencionada repetidamente por su amabilidad, eficiencia y atención impecable, convirtiéndola en un verdadero icono del servicio del restaurante.","El restaurante es ampliamente elogiado por su excepcional comida italiana, destacando pastas y risottos, y un servicio impecable, con mención especial a la amabilidad y eficiencia de la camarera María. El ambiente es agradable y se percibe una buena relación calidad-precio, con tiempos de espera cortos, aunque se mencionan algunas inconsistencias menores en el sazón de los platos y una ligera diferencia en la calidad del servicio entre camareros y jefes de sala.",16,Oven Mozzarella Preciados,
True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,"['Hamburguesas (con opciones como picantosa, queso de trufa o madurada)', 'Alitas de pollo al bourbon', 'Costillar', 'Nachos', 'Patatas asadas']","['Servicio excepcionalmente amable, atento y profesional (con menciones frecuentes a Álvaro y Andriana)', 'Comida deliciosa y de alta calidad, especialmente las hamburguesas y los aperitivos', 'Rapidez en la salida de los platos y la atención general', 'Buena relación calidad-precio', 'Ambiente agradable para grupos de amigos y familia']","['En alguna ocasión, el tamaño de la hamburguesa o las patatas ha sido percibido como un poco pequeño']",euro euro,"El restaurante destaca por la excepcional amabilidad y profesionalidad de su personal, con clientes mencionando frecuentemente por su nombre a camareros como Álvaro y Andriana.","Este restaurante recibe elogios unánimes por su deliciosa y variada comida, que incluye hamburguesas espectaculares con opciones gourmet, alitas y costillar. El servicio es constantemente destacado como extremadamente amable, atento, profesional y rápido, con varios camareros mencionados específicamente por su excelente trato. Ofrece una buena relación calidad-precio y es ideal para comidas familiares o con amigos.",17,SteakBurger Fuencarral,
True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,"['sanduche ibérico', 'vino un nubori', 'lomo bajo de vacuno', 'sangría', 'burguer', 'hamburguesa', 'tinto de verano', 'salsa de quesos']","['Atención al cliente excepcional y amable (destacando Emily y otros camareros)', 'Comida de excelente calidad y muy rica', 'Ambiente agradable, chill y tranquilo', 'Servicio rápido y eficiente', 'Buena relación calidad-precio']","['Problemas de cocción o sazón en algunos platos (ej. lomo quemado y con exceso de sal)', 'Política de asignación de mesas poco flexible']",euro euro,"Emily es mencionada en la mayoría de las reseñas por su excepcional amabilidad y servicio, convirtiéndose en el rostro del restaurante.","Este restaurante destaca por su excelente comida y, sobre todo, por un servicio excepcional y amable, con Emily siendo consistentemente elogiada. Ofrece un ambiente agradable y tranquilo, con servicio rápido y una buena relación calidad-precio. Sin embargo, algunos clientes han reportado problemas puntuales con la cocción de ciertos platos y una política de asignación de mesas algo rígida.",18,Steakburger Atocha | Hamburguesas Madrid,
True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,"['pasta carbonara', 'lasaña', 'pizza', 'bruschetta', 'tagliatelle a la boloñesa', 'pasta con trufa', 'caccio de pepe', 'lomo de ternera']","['Comida italiana auténtica y deliciosa', 'Servicio muy atento y amable', 'Ambiente acogedor y bien decorado', 'Experiencia culinaria única', 'Atención personalizada y resolutiva']",['Mesas un poco pequeñas'],euro euro,La comida es tan auténtica que te sentirás como si hubieras viajado a Italia sin salir de España.,"Este restaurante italiano en Madrid es altamente valorado por su excepcional comida, servicio amable y atento, y un ambiente acogedor. Ofrece una experiencia culinaria auténtica que transporta a los comensales a Italia, con platos destacados como la carbonara, boloñesa y bruschetta. Aunque las mesas pueden ser un poco pequeñas, es muy recomendable, aunque se aconseja reservar debido a su popularidad.",19,Trattoria Pulcinella,
True,True,True,True,False,True,False,True,False,True,False,False,False,True,False,"['pizza', 'papardelle trufa', 'carbonara', 'risotto de setas', 'tarta de questo']","['Servicio muy amable y atento, con personal destacado por su nombre', 'Comida de excelente calidad (especialmente pizzas y pastas)', 'Ambiente agradable y ameno', 'Raciones generosas', 'Apto para familias con niños']","['Tiempo de espera prolongado y desorganización en el servicio', 'Falta de originalidad en algunos platos (comparado con otros italianos)', 'Quejas puntuales sobre la calidad de la comida (fría, quemada)']",euro euro,Muchos clientes destacan y recuerdan por su nombre a los camareros por su servicio excepcional.,"Este restaurante italiano destaca por su excelente servicio, con un personal muy atento y recordado por los clientes, y una comida de muy buena calidad, especialmente sus pizzas y pastas. Ofrece un ambiente agradable y es apto para familias. Aunque algunos mencionan desorganización o lentitud en el servicio y una falta de originalidad, la mayoría lo recomienda por su buena relación calidad-precio y su ubicación céntrica en Madrid.",20,Oven Mozzarella Atocha | Italiano Madrid,
True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,"['Carne a la parrilla', 'Empanadas', 'Parrillada (variada)', 'Postres']","['Servicio muy amable y atento', 'Carne de excelente calidad y cocinada al punto', 'Excelente relación calidad-precio', 'Ambiente agradable']",[],euro,"Ofrecen Fernet, una bebida poco común en restaurantes españoles.","Este restaurante es muy recomendable por su deliciosa comida, especialmente la carne a la parrilla cocinada al punto, y su excelente relación calidad-precio. Destaca también por el trato amable y atento del personal, creando un ambiente muy agradable para los comensales.",21,Mu! El Placer De La Carne,
True,True,True,True,False,True,False,True,True,True,False,True,False,False,False,"['alcachofas', 'tártaro de salmón', 'risoto de boletus y trufa', 'costillas asadas', 'croquetas de jamón', 'tataki de atún', 'tarta de la abuela']","['servicio muy amable y atento', 'ubicación excelente en Plaza Mayor', 'comida deliciosa y variada', 'buena relación calidad-precio', 'ambiente acogedor y único (sótano abovedado)']","['algunos platos servidos fríos', 'problemas de accesibilidad por escaleras (con carro)']",euro euro euro,El restaurante se distingue por su ubicación única en las impresionantes bóvedas subterráneas de ladrillo visto de la Plaza Mayor.,"Este restaurante en plena Plaza Mayor de Madrid ofrece una excelente experiencia gastronómica con un servicio muy amable y atento. Su cocina es variada y elaborada, destacando la buena relación calidad-precio y un ambiente único en sus bóvedas subterráneas. Aunque la mayoría de las reseñas son muy positivas, se han reportado ocasionalmente platos fríos y dificultades de acceso por escaleras.",22,Restaurante Dcorazon,
True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,"['Hamburguesas', 'Pollo al corral', 'Alitas al borbon', 'Nachos', 'Estaca T-Bone']","['Servicio muy atento y amable', 'Comida de excelente calidad', 'Amplia variedad en el menú', 'Ambiente agradable y único']","['Patatas y postres servidos fríos', 'Problemas de acceso sin reserva', 'Carne poco hecha (según preferencia)']",euro euro euro,Ofrece dos experiencias gastronómicas separadas en el mismo local: una italiana y otra tex-mex.,"El restaurante destaca por su comida de excelente calidad, especialmente hamburguesas, pollo y platos tex-mex, y un servicio muy atento y amable por parte del personal. Aunque el ambiente es agradable y único, se han reportado problemas con la temperatura de algunos acompañamientos y dificultades para acceder sin reserva. Ofrece una propuesta original al combinar dos tipos de cocina en un mismo espacio.",23,SteakBurger Gran Vía 55,
True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,"['paella de pollo', 'bravas', 'helado de loto blanco', 'tataki de atún rojo', 'fideos de atún rojo', 'tortilla de patatas', 'pasta de queso y pera']","['Servicio excepcionalmente amable y atento (con menciones a Cristina, Moises, Lulu, Edwing)', 'Comida deliciosa, original y con sabores exóticos', 'Ambiente y decoración muy divertidos, coloridos y particulares', 'Experiencia general muy positiva y memorable', 'Rapidez en el servicio sin esperas excesivas']","['Navegación del menú online puede ser frustrante', 'Algunos platos con combinaciones de sabores inusuales/extrañas']",euro euro euro,"El personal viste pijama y la decoración del restaurante es ecléctica y divertida, creando una atmósfera única.","Un restaurante con una atmósfera vibrante y colorida, un servicio excepcionalmente amable y eficiente, y una propuesta culinaria original con sabores exóticos y platos elaborados que ofrecen una experiencia inolvidable. Es un lugar ideal para ir en familia y disfrutar de un ambiente único y divertido.",24,Rosi La Loca,
True,False,True,True,True,True,False,True,False,True,False,False,False,False,False,"['pastas', 'pizzas', 'lasaña', 'ensalada de cesar', 'burrata focaccia', 'pan de ajo', 'martinis expresos']","['Comida italiana deliciosa y variada', 'Buen ambiente general del local', 'Precios razonables y buena relación calidad-precio', 'Servicio rápido y atento (cuando es bueno)']","['Servicio muy inconsistente y a menudo deficiente', 'Problemas con el menú QR (falta de cobertura, sin copias físicas)', 'Quejas puntuales sobre la cocción o sabor de algunos platos (mucho ajo, demasiado cocinada)']",euro euro,"A pesar de su discreta fachada en una zona turística, es un lugar frecuentado por locales.","Este restaurante destaca por su comida italiana deliciosa y variada, un ambiente agradable y precios razonables. Sin embargo, el servicio es muy inconsistente, con múltiples quejas sobre deficiencias y la gestión del menú QR. A pesar de esto, muchos clientes lo recomiendan para familias y amigos.",25,Oven Mozzarella Gran Via 55,
,,,,,,,,,,,,,,,,,,,,,26,Oven Mozzarella Gran Vía 6,"Expecting ',' delimiter: line 28 column 30 (char 852)"
True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,"['Pizzas variadas', 'Pizza Margarita', 'Focaccia', 'Tiramisú', 'Helado de queso']","['Comida casera deliciosa (especialmente pizzas y postres)', 'Servicio excepcional, amable y profesional', 'Excelente relación calidad-precio', 'Ambiente agradable y acogedor', 'Ideal para familias con niños']",[],euro euro,Ofrecen un innovador helado de queso que ha sorprendido gratamente a los clientes.,"El restaurante destaca por su comida italiana casera y deliciosa, especialmente sus pizzas y el tiramisú, así como por un servicio excepcional y muy amable. Los clientes aprecian la buena relación calidad-precio, el ambiente agradable y que es un lugar ideal para ir con niños.",27,Pizzart Villa Luchana | Pizzeria Madrid,
True,True,True,True,False,True,False,True,True,True,False,False,False,True,False,"['Rabo de toro', 'Croquetas', 'Entrecot']","['Comida excepcional y de exquisito sabor a Madrid', 'Servicio y atención impecables, con personal muy amable', 'Ambiente acogedor, íntimo y tranquilo', 'Platos tradicionales con un toque moderno y bien presentados', 'Excelentes recomendaciones (especialmente de vino)']",['Precio no es el más económico'],euro euro euro,"Ubicado dentro del Hotel Mayorazgo, el restaurante sorprende con su interior acogedor y una decoración con toques castizos.","Este restaurante ofrece una experiencia gastronómica excepcional con un servicio impecable y un ambiente muy acogedor. Destaca por sus platos tradicionales madrileños con un toque moderno, presentados de forma cuidada y con ingredientes de calidad. Aunque no es el más económico, su excelente relación calidad-precio lo hace ideal para ocasiones especiales, comidas familiares o en pareja.",28,GastroVía 61,
True,True,True,True,False,True,False,True,False,True,False,True,True,True,False,"['paella', 'arroces', 'marisco', 'paella ibérica', 'paella señoret', 'arroz con pollo', 'gambones', 'croquetas de jamón ibérico', 'chipirones a la plancha']","['Excelente calidad de la comida, destacando paellas y arroces', 'Servicio muy amable, atento y profesional por parte del personal', 'Ambiente agradable y acogedor, incluyendo la disponibilidad de terraza', 'Buena relación entre calidad y precio']","['Actitud forzada o infeliz de algunos camareros', 'Trato desdeñoso por parte del propietario o gerente', 'Percepción de presión para pedir más platos']",euro euro,,"El restaurante es ampliamente elogiado por la excelente calidad de su comida, especialmente sus arroces, paellas y mariscos, que son considerados excepcionales y típicos de la cocina alicantina. El servicio es consistentemente descrito como muy amable y atento por la mayoría de los clientes, y el ambiente es agradable, con la ventaja de una terraza. Ofrece una buena relación calidad-precio. Sin embargo, una reseña negativa menciona un servicio con actitud forzada, trato desdeñoso del propietario y presión para pedir más platos.",29,Taberna de Peñalver,
True,True,True,True,True,False,False,True,False,True,False,False,False,True,False,"['pizza con trufa y huevo poché', 'tarta de queso', 'pizza quesos', 'ensalada de espinacas y formaggio', 'tiramiusú']","['Servicio excepcional y muy amable', 'Comida deliciosa y de alta calidad', 'Ambiente agradable y acogedor', 'Precios razonables', 'Localización céntrica y conveniente']","['Algunos platos específicos no cumplieron las expectativas (carbonara salada, gnocchi secos, risotto)', 'Música ambiente mejorable', 'Percepción de precios algo elevados por algún cliente']",euro euro,Destaca por un nivel de atención al cliente tan excepcional que una camarera llegó a ofrecer Cebralín a un cliente que se manchó la camisa.,"Este restaurante es altamente recomendado por su excepcional servicio al cliente, su deliciosa comida italiana elaborada, su ambiente agradable y sus precios razonables, siendo ideal para citas en pareja.",30,Oven Mozzarella Fuencarral,
True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,"['hamburguesas', 'queso (terminado en mesa)', 'papas fritas', 'pimientos de padrón', 'sangría', 'carne en su punto', 'filetes', 'costillas', 'super crispy', 'brutal burger', 'bolas de helado de dulce de leche']","['Servicio y atención del personal excepcional y amable (Laura, Hugo, Kari, Alejandro, Lorena, Nazalio)', 'Comida deliciosa y de gran calidad (hamburguesas, carne, filetes)', 'Ambiente muy agradable, bonito y cómodo', 'Rapidez y eficiencia en el servicio', 'Buena relación calidad-precio']",[],euro euro,La peculiar forma de terminar el delicioso queso en la mesa hace de sus hamburguesas una experiencia única y memorable.,"Este restaurante es altamente elogiado por su deliciosa comida, destacando sus hamburguesas, carnes y filetes, algunos con presentaciones únicas como el queso terminado en mesa. Los clientes resaltan la excepcional amabilidad y atención del personal, especialmente de camareras como Laura, así como un ambiente agradable y un servicio rápido, lo que contribuye a una excelente relación calidad-precio.",31,SteakBurger Preciados,
