web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,image,data14,data15,data16,data17,data18,image2,image3,image4,image5,image6,data19
1775742657-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,¡Experiencia de 10!,Ángeles Lucía,"Lugar pequeño, con encanto, con una materia prima fresca y cocinada con mucho mimo. Pero quizá lo mejor es la atención. Saben lo que hacen y saben comunicarlo. No venden humo. Hemos repetido y repetiremos siempre que podamos.",5 contribuciones,5,Escrita el 19 de marzo de 2020,5 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Estupendo,viajeroandaluz,"Pequeño pero gran restaurante, el local es muy acogedor y el servicio excelente. Una carta variada sin grandes alharacas pero muy completa. Disponen de 1 plato de cuchara en el que destaca una rica sopa de tomate. Completa carta de vinos, postres variados. Muy recomendable",333 contribuciones,333,Escrita el 6 de marzo de 2020,"Provincia de Jaén, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742657-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,casa de comidas suprema,Sekitudinai,"Impresionante restaurante para comer en madrid, productos normales, que cualquiera podria utilizar en su casa para cocinar, pero muy bien tratados, elaborados y con un trato exquisito por parte del personal, pocas casas de comidas como esta hay en Madrid.
es cierto que he ido ya muchas veces y nunca me canso, obviamente ha subido algo de precio pero da lo mismo, se paga y se paga agusto cuando se come y te enseñan asi.
muchas recomendaciones he dado de este sitio y a quien me pregunte siempre le dire que vaya.",6 contribuciones,6,Escrita el 6 de marzo de 2020,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,,,,,,,
1775742657-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Excelente,Misskitty,"Como siempre, excelente, estupenda materia prima muy bien tratada y elaborado
Quisiera destacar la atención de Víctor,buen profesional y que demuestra su gusto y pasión por el mundo de los vinos. Buen acierto en los maridages dando opciones para que sea finalmente el cliente quién decida, demostrando humildad, algo que se hecha, últimamente,en falta en esta profesión.
Gracias a todo el equipo",14 contribuciones,14,Escrita el 4 de marzo de 2020,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,,,,,,,
1775742657-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Siempre perfecto,Marita C,"Como siempre , comida, atención y ambiente perfecto. Ningún pero, es una apuesta segura y ganadora. Repetiremos",9 contribuciones,9,Escrita el 29 de febrero de 2020,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,,,,,,,
1775742642-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Para volver mil veces y probar toda la carta,Antonio p,"Te sientes a gusto nada más entrar en este ambiente tranquilo y recogido. No hay más de 10 mesas, por lo que Marcos y su equipo te hacen sentirte muy cómodo desde que entras. Atención al detalle, educación, esmerada presentación y, cómo no, una cocina espectacular.
Tras contarnos Marcos la carta y fuera de carta se te quedan ganas de probarlo todo. Por eso, sin duda, volveremos a seguir probando platos.
Además, acomodan la cantidad de comida a los comensales y sus necesidades: mi mujer come la mitad que yo pero queríamos probar varios platos. Marcos nos ofreció medias raciones a repartir, ¡excelente idea!
Por poner un pero, los vinos son demasiado caros. Pero la carta en general no es cara
Gracias de nuevo",8 contribuciones,8,Escrita el 20 de noviembre de 2021,Calidad/precio,Comida,Servicio,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,
1775742642-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,EXCELENTE con mayúsculas,Esther G,"Comida con amigas. No es la primera, ni la segunda, ni la tercera vez que comemos en este restaurante. Y repitiremos. Y porqué? Porque nos encanta. Ni un pero.",10 contribuciones,10,Escrita el 8 de octubre de 2021,Calidad/precio,Comida,Servicio,10 contribuciones,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/66/c3/55/tomates-de-temporada.jpg?w=300&h=300&s=1,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/66/c3/a6/lentejas-caviar.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/66/c2/f8/pescado-para-chuparte.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
1775742642-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Rincón con sorpresa en el centro de Madrid,Rafael E,"Pequeño rincon lleno de sorpresas y cariño. Carta corta pero excepcional. Sorprende el fondo de su bodega. Déjate aconsejar por Marcos y su equipo, nunca fallan.",7 contribuciones,7,Escrita el 3 de octubre de 2021,,,,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,
1775742642-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Qué bonito!!!,Tesus,"Hoy hemos estado en este restaurante y hay que destacar qué tanto su ubicación (barrio de Las Letras), la instalación ( “coquetona” y distinta), el producto )de lo mejor del mercado , preparado y cocinado con saber y cariño), y un trato excelente, excelente, excelente (de la mano de Marcos, Chema y Víctor);y una magnífica relación calidad/ precio. Hoy tomamos unas lentejas qué dejan sin palabras y un bonito (qué además de poner título a la opinión; podemos decir que es de lo mejor que hemos comido en mucho tiempo). Y el postre del”rechupete”. Seguid así, que seguiremos yendo a vuestra casa",554 contribuciones,554,Escrita el 9 de septiembre de 2021,,,,"Madrid, España",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/d7/dd/ba/caption.jpg?w=300&h=300&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/d7/dd/bb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/d7/dd/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a5/a8/aa/caption.jpg?w=100&h=-1&s=1,,,
1775742642-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Excelente comida acompañada de buen vino,juliojavyoli,"Carta corta pero excelente. Con un tato excepcional te cuentan todos los platos y las recomendaciones que te dan son desde luego para hacerlas caso.
Acompañamos la cena con distintos vinos, nos ofrecieron la posibilidad de medias copas para poder degustar alguno más, lo cual está muy bien. Dejamos que Victor, nos fuese sacando caldos de su elección comentando un poco el tipo de vinos que íbamos queriendo y la verdad es que fue un acierto. Un maridaje rico, rico.
Local acogedor, un sitio para repetir",42 contribuciones,42,Escrita el 29 de julio de 2021,Calidad/precio,Comida,Servicio,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,
1775742642-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,"Comida extraordinaria, un placer para los sentidos",Miguel Angel B,"Amabilidad extraordinaria, carta breve y exquisita,  reserve y disfrute. Puerros excelentes, vino genial, comida deliciosa",39 contribuciones,39,Escrita el 25 de julio de 2021,,,,"Logroño, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c2/95/34/caption.jpg?w=100&h=-1&s=1,,,
1775742642-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Major Inposilbe,Antonio R,"Son ya seis años acudiendo a este restaurante y nada cambia. Basicamente porque no puede mejorarse lo inmejorable. Marcos y su equipo ofrecen unos platos de altísima calidad y con un sello personal que (en mi opinión) pocos pueden igualar. Una cocina refinada, sin sabores contundentes pero con unos aromas y unas sensaciones que permanecen al degustar sus platos. Lo que presenta Marcos es un homenaje a la sencillez bien entendida. Un producto de gran calidad y ofrecido sin exageraciones triviales. Y si en sala a ello le acompaña un equipo como Chema y Victor, la experiencia en Vinoteca Moratín es un auténtico placer. Dudo mucho que pueda acudir a un restauante de este nivel, para mí lo mejor de Madrid",51 contribuciones,51,Escrita el 12 de junio de 2021,Servicio,,Comida,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/de/79/09/antonio-r.jpg?w=100&h=-1&s=1,,,
1775742642-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Volveremos,Francisco Javie... R,"Tenía ganas de probarlo y nos encantó.
El servicio, la comida, la calidad de los alimentos.
Muy amables y contando los platos o los vinos. La pena es no poder ir más a menudo, no nos pilla cerca, pero volveremos seguro.",59 contribuciones,59,Escrita el 28 de mayo de 2021,Calidad/precio,Comida,Servicio,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,
1775742642-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Sin palabras,Irene H,"Descubrí el restaurante dando un paseo y Yerma cenamos allí. 
Solo puedo tener buenas palabras para esta maravilla de Vinoteca.
El servicio es espectacular, atentos , discretos y profesionales.
El cocinero te explica cada plátano , te recomienda y ajusta el menú para que disfrutes de la experiencia.
Nos abrieron dos botellas de vino para elegir la que más nos gustase .
La cómoda es deliciosa , sencilla y hecha con mucho amor.
Volveré seguro.
La relación calidad precio es impresionante.",11 contribuciones,11,Escrita el 22 de mayo de 2021,,,,11 contribuciones,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,
1775742642-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Vinoteca_Moratin-Madrid.html,Que puedo decir de este pequeño,carolina g,"Que puedo decir de este pequeño pero maravilloso restaurante, el servicio muy bueno, la comida muy bueno todo,y el vino Villa Wolf excelente, aconsejado por ellos. Volveremos seguro. Gracias por cuidar tanto todos los detalles.",25 contribuciones,25,Escrita el 4 de abril de 2021,,,,"Madrid, España",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
