web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18
1776246529-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Variedad y calidad,José Luis Pérez,"Fui con amigos y anteriormente con mi familia. La comida es muy buena en general, recomiendo los platos ""fuera de carta"". El trato es exquisito hacia el cliente y el precio es moderado. En resumen es muy buena opción. Volveremos sin duda.",1 contribución,1.0,Escrita el 31 de diciembre de 2019,,Calidad/precio,Comida,Servicio,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,
1776246529-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,de lujo como siempre,María García,"hoy es mi cumpleaños y fui anoche a cenar aquí con mis amigas a celebrarlo. He ido infinidad de veces desde que lo abrieron y siempre me encanta. El trato es exquisito y todo lo que pruebas también. Recomiendo mucho preguntar por la Carta secreta y pedir los Nigiris de papada, están que te mueres. Además tienen las mejores costillas que yo he probado nunca. 
Cuando ya nos trajeron la cuenta y pagamos, mis amigas me dieron el regalo, y el dueño al verlo me trajo un trozo de tarta con una vela y nos invitaron a un chupito, sin ningún coste, lo que me parece un detallazo por su parte. Cuidan muy bien al cliente. 
Sin duda volveré muchas más veces!",225 contribuciones,225.0,Escrita el 28 de diciembre de 2019,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6a/53/52/img-20191227-222322-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/03/d1/9f/avatar.jpg?w=100&h=-1&s=1,,
1776246529-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Gosadera máxima,Ángel de Paratieslavida.com,"Alright no es un restaurante americano al uso. Su carta es variada, con platos americanos pero su carta secreta esta basada en platos tradicionales. Si todavía no has visitado Alright, debes dedicarle una comida. En nuestra primera visita el camarero no nos aconsejó del todo bien en cuanto a cantidades, todo le parecía poco. En la segunda visita ya sabíamos el tamaño de las raciones y pudimos controlar.

Ve, olvídate de la dieta y ponte hasta las cejas.",España,298.0,Escrita el 24 de diciembre de 2019,298 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/28/d2/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/22/f7/f9/caption.jpg?w=100&h=-1&s=1,,
1776246529-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Todo bueno,Javier G,Un sitio de barrio muy recomendado. Todo echo por la madre con mucha dedicacion. Yo he ido muchas veces y siempre salgo contento. El trato es muy bueno y personal.,"Madrid, España",126.0,Escrita el 22 de diciembre de 2019,126 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,
1776246529-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Cena de amigos,armandobrande,"Local muy agradable,  muy buena comida, espectacular el chuletón de angus, mencion especial para el equipo de camareras, eficientes, amables, simpáticas y además guapas. Solo una pequeña pega, para los platos en que sirven la comida las mesas son un poquito pequeñas","Madrid, España",725.0,Escrita el 20 de diciembre de 2019,725 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/08/0a/20191220-000317-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,
1776246516-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Excelente,DANIEL S,"Después del confinamiento ha sido una alegría volver a visitar ALRIGHT y comprobar que todo sigue igual.
Fuimos 6 y quedamos muy satisfechos.
Atencion, platos...todo...como siempre de 10.
Gracias","Madrid, España",,1755,Escrita el 31 de julio de 2020,1755 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/28/c2/b0/daniel-s.jpg?w=100&h=-1&s=1,,,0.0
1776246516-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Recomendable,Sergio Z,"Después de tantas buenas referencias conseguimos ir y no nos decepcionó. Es perfecto para una comida o cena informales. La atención fue muy buena y el precio también. Recomendables el falso risotto, la hamburguesa de Osobucco y los Nigiri de panceta. Volveremos.","Madrid, España",,372,Escrita el 31 de julio de 2020,372 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ad/e3/2b/sergio-z.jpg?w=100&h=-1&s=1,,,0.0
1776246516-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Volveremos,Javii F,"Comida muy rica y no tardaban en sacar lo pedido, un ambiente muy bueno y unos camareros muy agradables que decían siempre lo que tenían fuera de carta. Volveremos seguro","Madrid, España",,4,Escrita el 23 de julio de 2020,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0.0
1776246516-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Dónde fuiste feliz siempre regresarás,Jaime.S,"Desde que fuí por primera vez hace 4 años, he repetido en numerosas ocasiones en el que considero que es el mejor restaurante calidad-precio de todo Madrid.
La comida es espectacular; original y realmente bien elaborada.
No perder la esencia y ese buen rollo que transmite es lo que hace que nunca se pierdan las ganas de repetir.
Respecto al servicio, poco más que añadir; simplemente felicitar a cada uno de los camareros, cocineros y por supuesto a los dueños. 
Ojalá no cambien nunca ni pierdan todo aquello que les ha convertido en una visita tan imprescindible como recomendada de todo aquel que busque restaurante en Madrid.",9 contribuciones,,9,Escrita el 28 de junio de 2020,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,0.0
1776246516-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Costillas pero también más cosas,Comiendo y bebiendo,"Nuestro primer restaurante tras el cconfinamiento ha sido Alright. Cabe destacar que se cumplían todas la medidas sanitarias y que la experiencia fue muy positiva en ese aspecto.

Los nachos estaban muy buenos, siendo caseros a diferencia de los que podemos encontrar en otros locales. El nigiri de papada pese a no estar malo, nos parece prescindible.

El costillar Alright estaba también muy bueno. Aviso: es un gran costillar que puede compartirse con otra persona si de ha comenzado con unos entrantes.
El plato más destacado de la noche fue el burrito, toda una sorpresa, pues acudimos a Alright con el reclamo del costillar. El Iberian burrito está riquísimo y lo recomendamos encarecidamente. 

El brownie muy contundente, para compartir también. A la tarta de queso le da un gran toque el dulce de leche.

En fin, para volver y probar más carta.

Precio: 20-25€ pax.","Madrid, España",,102,Escrita el 21 de junio de 2020,102 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b3/eb/80/comiendoybebiendo.jpg?w=100&h=-1&s=1,,,0.0
1776246516-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Me encanta,Tionick,"Lugar de referencia cerca de casa. Comida sabrosa y en donde nunca fallas.

Los platos fuera de carta, espectaculares","Madrid, España",,4,Escrita el 9 de junio de 2020,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/64/aa/60/avatar.jpg?w=100&h=-1&s=1,,,0.0
1776246516-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Siempre aciertas!!!!!👌,Marga D,"Cenamos ayer en la terraza, que lleva pocos días abierta y todo fue para disfrutar.Pedimos unos raviolis con tinta de calamar, tortilla de patata y croquetas de jalapeño...con un buen Muga y os podéis imaginar el gustazo. Juan ,lleva el negocio con tanto amor que desde que te sientas hasta que te vas ,es del todo familiar y Georgina siempre nos sirve con muchísima amabilidad. No os lo perdáis",3 contribuciones,,3,Escrita el 5 de junio de 2020,,Calidad/precio,Comida,Servicio,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0
1776246516-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,Servicio deliver & cook. Buenísimo,Raquel G,"Hemos ido en pareja varias veces al restaurante y siempre hemos disfrutado de la comida. Ahora con el confinamiento decidimos probar el servicio deliver & cook, y ha sido un gran acierto. Haces el pedido y te lo traen a casa cada ración envasada al vacío con fecha de caducidad (entre 2 y 5 días en nuestro caso). Das el último golpe de calor en casa ( instrucciones en la web) y te lo comes. Todo estaba muy bueno, pero las costillas eran espectaculares.
Muy recomendable.",3 contribuciones,,3,Escrita el 11 de mayo de 2020,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0
1776246516-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,SUPER RECOMENDABLE EL SERVICIO A DOMICILIO!!!,mudiMadrid,"Encargué para comer de celebración de cumple costillas, costillón, falso risotto y brownie y nos encantó todo!!! Ningún problema para hacer y recibir el pedido, y en la atención tan amables como siempre. Me encantó el sistema de terminarlo de cocinar en casa porque lo comes calentito y con sensación de recién hecho. Muy bien pensado todo. Soñábamos con volver a comer las costillas Alright!",MADRID,,15,Escrita el 9 de mayo de 2020,15 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/82/83/b5/mudimadrid.jpg?w=100&h=-1&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0
1776246516-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7239164-Reviews-Alright-Madrid.html,"Estupendo, para repetir y recomendar 100%",Beatriz G,"He ido varias veces al restaurante de Pedro Rico, el primero que abrieron, y siempre he salido contenta. Fue una alegría que lo abrieran porque no conozco nada ni parecido por el barrio. Se ha convertido en lugar de celebraciones, el sitio para ir con alguien cuando quieres que sea especial y acertar seguro.
Todos los platos que he probado están riquísimos. Por mencionar alguno, el costillón y el falso risotto son espectaculares. Pero no es sólo que los platos estén sabrosos, deliciosos, en su punto, sean originales, estén bien presentados y todos los adjetivos positivos que se te ocurran, es que el trato marca la diferencia. La amabilidad de los dueños, la atención personalizada, es un puntazo. 
Además de la carta normal tienen lo que llaman ""la carta secreta"", que no es el típico fuera de carta de otros restaurantes que parece que siempre tienen lo mismo fuera de carta pero no lo ponen para poder cobrarte más porque no ves el precio antes de pedirlo. Ellos cambian su carta secreta, innovan y buscan nuevas recetas, cada vez que vas es una sorpresa. Te la explican en detalle y si algo es más caro que el resto de cosas de la carta te lo avisan.
En estas circunstancias de confinamiento se han adaptado y te llevan la comida a casa pero, como todo lo que hacen, con trabajo concienzudo y mimo. Han modificado toda su web y presentan una selección de su carta habitual, imagino que han dejado sólo lo que consideran que te llegará rico a casa. Además, para asegurarse de la caliadd, te preparan la comida de manera que en casa la terminas de cocinar con pasos rápidos y sencillos (por ejemplo 10 min en el horno). Ayer pudimos comprobar que efectivamente está todo riquísimo. La entrega fue tan amable como el trato que dan en su restaurante, la presentación inmejorable y el resultado, buenísimo. ¡Felicitaciones para todo el equipo de Alright!","Madrid, España",,12,Escrita el 23 de abril de 2020,12 contribuciones,Calidad/precio,Comida,Servicio,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/83/0d/48/bistritzb.jpg?w=200&h=-1&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0
